run_name,reward_mode,training_seed,evaluation_seed,topology_seed,goal_reached,terminal_reason,length,native_return,policy_return,hosts_compromised,discovered_hosts,mean_cvss_exploited,max_cvss_exploited,high_value_target_hit,distinct_actions,repeated_actions,tactics,techniques
experiment_01-sparse-s43-t42,sparse,43,1001,42,True,goal,146,-139.0,2.0,6,72,8.566666666666666,9.8,True,15,15,[],[]
experiment_01-sparse-s43-t42,sparse,43,1002,42,True,goal,125,-82.0,3.0,6,40,7.333333333333333,8.1,False,15,9,[],[]
experiment_01-sparse-s43-t42,sparse,43,1003,42,True,goal,230,-370.0,3.0,6,80,6.699999999999999,8.1,False,15,22,[],[]
experiment_01-sparse-s43-t42,sparse,43,1004,42,True,goal,84,6.0,2.0,6,48,7.066666666666666,8.1,False,15,10,[],[]
experiment_01-sparse-s43-t42,sparse,43,1005,42,True,goal,60,64.0,2.0,4,24,7.4,8.1,False,14,4,[],[]
experiment_01-sparse-s43-t42,sparse,43,1006,42,True,goal,83,15.0,2.0,5,40,6.859999999999999,8.1,False,15,9,[],[]
experiment_01-sparse-s43-t42,sparse,43,1007,42,True,goal,136,-111.0,3.0,6,80,8.2,9.8,True,15,11,[],[]
experiment_01-sparse-s43-t42,sparse,43,1008,42,True,goal,67,58.0,2.0,6,56,7.166666666666667,8.1,False,15,4,[],[]
experiment_01-sparse-s43-t42,sparse,43,1009,42,True,goal,52,80.0,3.0,4,24,8.375,9.8,True,13,3,[],[]
experiment_01-sparse-s43-t42,sparse,43,1010,42,True,goal,109,-46.0,3.0,5,56,7.76,9.8,True,15,9,[],[]
