run_name,reward_mode,training_seed,evaluation_seed,topology_seed,goal_reached,terminal_reason,length,native_return,policy_return,hosts_compromised,discovered_hosts,mean_cvss_exploited,max_cvss_exploited,high_value_target_hit,distinct_actions,repeated_actions,tactics,techniques
experiment_01-shaped-s42-t42,shaped,42,1001,42,True,goal,146,-126.0,-204.7235625,6,48,8.466666666666667,9.8,True,15,11,"[""exploit"", ""privesc"", ""recon""]","[""T1018"", ""T1046"", ""T1057"", ""T1068"", ""T1082"", ""T1210""]"
experiment_01-shaped-s42-t42,shaped,42,1002,42,True,goal,269,-396.0,-814.2129999999997,7,104,8.1,9.8,True,15,20,"[""exploit"", ""privesc"", ""recon""]","[""T1018"", ""T1046"", ""T1057"", ""T1068"", ""T1082"", ""T1210""]"
experiment_01-shaped-s42-t42,shaped,42,1003,42,True,goal,230,-336.0,-584.2383125000001,7,32,7.142857142857143,9.8,True,15,16,"[""exploit"", ""privesc"", ""recon""]","[""T1018"", ""T1046"", ""T1057"", ""T1068"", ""T1082"", ""T1210""]"
experiment_01-shaped-s42-t42,shaped,42,1004,42,True,goal,97,-5.0,-41.474125000000015,5,48,7.88,8.1,False,15,9,"[""exploit"", ""privesc"", ""recon""]","[""T1018"", ""T1046"", ""T1057"", ""T1068"", ""T1082"", ""T1210""]"
experiment_01-shaped-s42-t42,shaped,42,1005,42,True,goal,192,-232.0,-323.26075000000003,7,64,8.985714285714284,9.8,True,15,20,"[""exploit"", ""privesc"", ""recon""]","[""T1018"", ""T1046"", ""T1057"", ""T1068"", ""T1082"", ""T1210""]"
experiment_01-shaped-s42-t42,shaped,42,1006,42,True,goal,149,-136.0,-281.27168750000004,6,64,8.183333333333334,9.8,True,15,12,"[""exploit"", ""privesc"", ""recon""]","[""T1018"", ""T1046"", ""T1057"", ""T1068"", ""T1082"", ""T1210""]"
experiment_01-shaped-s42-t42,shaped,42,1007,42,True,goal,84,10.0,9.959812499999998,5,40,8.319999999999999,9.8,True,15,7,"[""exploit"", ""privesc"", ""recon""]","[""T1018"", ""T1046"", ""T1057"", ""T1068"", ""T1082"", ""T1210""]"
experiment_01-shaped-s42-t42,shaped,42,1008,42,True,goal,196,-224.0,-592.4738124999999,6,40,8.283333333333333,9.8,True,15,15,"[""exploit"", ""privesc"", ""recon""]","[""T1018"", ""T1046"", ""T1057"", ""T1068"", ""T1082"", ""T1210""]"
experiment_01-shaped-s42-t42,shaped,42,1009,42,True,goal,170,-167.0,-487.79562500000003,7,24,7.542857142857144,9.8,True,15,13,"[""exploit"", ""privesc"", ""recon""]","[""T1018"", ""T1046"", ""T1057"", ""T1068"", ""T1082"", ""T1210""]"
experiment_01-shaped-s42-t42,shaped,42,1010,42,True,goal,212,-292.0,-756.8221249999999,5,24,8.78,9.8,True,15,18,"[""exploit"", ""privesc"", ""recon""]","[""T1018"", ""T1046"", ""T1057"", ""T1068"", ""T1082"", ""T1210""]"
