run_name,reward_mode,training_seed,evaluation_seed,topology_seed,goal_reached,terminal_reason,length,native_return,policy_return,hosts_compromised,discovered_hosts,mean_cvss_exploited,max_cvss_exploited,high_value_target_hit,distinct_actions,repeated_actions,tactics,techniques
experiment_01-shaped-s48-t42,shaped,48,1001,42,True,goal,126,-74.0,-191.294125,6,24,8.283333333333333,9.8,True,15,9,"[""exploit"", ""privesc"", ""recon""]","[""T1018"", ""T1046"", ""T1057"", ""T1068"", ""T1082"", ""T1210""]"
experiment_01-shaped-s48-t42,shaped,48,1002,42,True,goal,298,-464.0,-853.7166874999998,7,104,8.342857142857142,9.8,True,15,25,"[""exploit"", ""privesc"", ""recon""]","[""T1018"", ""T1046"", ""T1057"", ""T1068"", ""T1082"", ""T1210""]"
experiment_01-shaped-s48-t42,shaped,48,1003,42,True,goal,87,9.0,-123.75475,4,16,7.949999999999999,8.1,False,15,12,"[""exploit"", ""privesc"", ""recon""]","[""T1018"", ""T1046"", ""T1057"", ""T1068"", ""T1082"", ""T1210""]"
experiment_01-shaped-s48-t42,shaped,48,1004,42,True,goal,63,70.0,-29.282749999999993,4,40,7.4,8.1,False,15,6,"[""exploit"", ""privesc"", ""recon""]","[""T1018"", ""T1046"", ""T1057"", ""T1068"", ""T1082"", ""T1210""]"
experiment_01-shaped-s48-t42,shaped,48,1005,42,True,goal,111,-42.0,-176.89000000000004,6,32,7.166666666666667,8.1,False,15,12,"[""exploit"", ""privesc"", ""recon""]","[""T1018"", ""T1046"", ""T1057"", ""T1068"", ""T1082"", ""T1210""]"
experiment_01-shaped-s48-t42,shaped,48,1006,42,True,goal,140,-113.0,-241.10306250000002,5,80,8.32,9.8,True,15,14,"[""exploit"", ""privesc"", ""recon""]","[""T1018"", ""T1046"", ""T1057"", ""T1068"", ""T1082"", ""T1210""]"
experiment_01-shaped-s48-t42,shaped,48,1007,42,True,goal,84,16.0,52.6115,7,48,8.014285714285716,9.8,True,15,7,"[""exploit"", ""privesc"", ""recon""]","[""T1018"", ""T1046"", ""T1057"", ""T1068"", ""T1082"", ""T1210""]"
experiment_01-shaped-s48-t42,shaped,48,1008,42,True,goal,342,-553.0,-820.3618125,8,224,8.587499999999999,9.8,True,15,35,"[""exploit"", ""privesc"", ""recon""]","[""T1018"", ""T1046"", ""T1057"", ""T1068"", ""T1082"", ""T1210""]"
experiment_01-shaped-s48-t42,shaped,48,1009,42,True,goal,87,25.0,-68.17731250000001,6,40,7.816666666666666,9.8,True,15,11,"[""exploit"", ""privesc"", ""recon""]","[""T1018"", ""T1046"", ""T1057"", ""T1068"", ""T1082"", ""T1210""]"
experiment_01-shaped-s48-t42,shaped,48,1010,42,True,goal,173,-182.0,-357.9164999999999,6,64,8.566666666666668,9.8,True,15,13,"[""exploit"", ""privesc"", ""recon""]","[""T1018"", ""T1046"", ""T1057"", ""T1068"", ""T1082"", ""T1210""]"
