run_name,reward_mode,training_seed,evaluation_seed,topology_seed,goal_reached,terminal_reason,length,native_return,policy_return,hosts_compromised,discovered_hosts,mean_cvss_exploited,max_cvss_exploited,high_value_target_hit,distinct_actions,repeated_actions,tactics,techniques
experiment_01-shaped-s47-t42,shaped,47,1001,42,True,goal,211,-241.0,-614.6335624999999,5,80,8.32,9.8,True,15,22,"[""exploit"", ""privesc"", ""recon""]","[""T1018"", ""T1046"", ""T1057"", ""T1068"", ""T1082"", ""T1210""]"
experiment_01-shaped-s47-t42,shaped,47,1002,42,True,goal,85,34.0,-119.219875,6,32,8.183333333333334,9.8,True,15,8,"[""exploit"", ""privesc"", ""recon""]","[""T1018"", ""T1046"", ""T1057"", ""T1068"", ""T1082"", ""T1210""]"
experiment_01-shaped-s47-t42,shaped,47,1003,42,True,goal,214,-280.0,-469.09868750000004,7,88,8.414285714285715,9.8,True,15,15,"[""exploit"", ""privesc"", ""recon""]","[""T1018"", ""T1046"", ""T1057"", ""T1068"", ""T1082"", ""T1210""]"
experiment_01-shaped-s47-t42,shaped,47,1004,42,True,goal,128,-68.0,-196.525625,7,88,7.785714285714286,9.8,True,15,10,"[""exploit"", ""privesc"", ""recon""]","[""T1018"", ""T1046"", ""T1057"", ""T1068"", ""T1082"", ""T1210""]"
experiment_01-shaped-s47-t42,shaped,47,1005,42,True,goal,75,34.0,-48.54168750000002,6,40,7.550000000000001,9.8,True,14,10,"[""exploit"", ""privesc"", ""recon""]","[""T1018"", ""T1046"", ""T1057"", ""T1068"", ""T1082"", ""T1210""]"
experiment_01-shaped-s47-t42,shaped,47,1006,42,True,goal,149,-127.0,-285.997625,6,88,8.183333333333334,9.8,True,15,16,"[""exploit"", ""privesc"", ""recon""]","[""T1018"", ""T1046"", ""T1057"", ""T1068"", ""T1082"", ""T1210""]"
experiment_01-shaped-s47-t42,shaped,47,1007,42,True,goal,84,17.0,-22.642437500000014,6,72,8.183333333333334,9.8,True,15,8,"[""exploit"", ""privesc"", ""recon""]","[""T1018"", ""T1046"", ""T1057"", ""T1068"", ""T1082"", ""T1210""]"
experiment_01-shaped-s47-t42,shaped,47,1008,42,True,goal,196,-198.0,-347.4738125,4,88,8.95,9.8,True,15,21,"[""exploit"", ""privesc"", ""recon""]","[""T1018"", ""T1046"", ""T1057"", ""T1068"", ""T1082"", ""T1210""]"
experiment_01-shaped-s47-t42,shaped,47,1009,42,True,goal,159,-115.0,-412.9010624999999,5,56,8.440000000000001,9.8,True,15,15,"[""exploit"", ""privesc"", ""recon""]","[""T1018"", ""T1046"", ""T1057"", ""T1068"", ""T1082"", ""T1210""]"
experiment_01-shaped-s47-t42,shaped,47,1010,42,True,goal,181,-189.0,-437.0961875000001,6,96,7.816666666666666,9.8,True,15,11,"[""exploit"", ""privesc"", ""recon""]","[""T1018"", ""T1046"", ""T1057"", ""T1068"", ""T1082"", ""T1210""]"
