run_name,reward_mode,training_seed,evaluation_seed,topology_seed,goal_reached,terminal_reason,length,native_return,policy_return,hosts_compromised,discovered_hosts,mean_cvss_exploited,max_cvss_exploited,high_value_target_hit,distinct_actions,repeated_actions,tactics,techniques
experiment_01-shaped-s50-t42,shaped,50,1001,42,True,goal,172,-183.0,-388.747875,5,80,8.32,9.8,True,15,12,"[""exploit"", ""privesc"", ""recon""]","[""T1018"", ""T1046"", ""T1057"", ""T1068"", ""T1082"", ""T1210""]"
experiment_01-shaped-s50-t42,shaped,50,1002,42,True,goal,208,-269.0,-703.4582499999999,4,56,7.825,9.8,True,15,15,"[""exploit"", ""privesc"", ""recon""]","[""T1018"", ""T1046"", ""T1057"", ""T1068"", ""T1082"", ""T1210""]"
experiment_01-shaped-s50-t42,shaped,50,1003,42,True,goal,153,-156.0,-222.71718750000002,6,32,8.466666666666667,9.8,True,15,17,"[""exploit"", ""privesc"", ""recon""]","[""T1018"", ""T1046"", ""T1057"", ""T1068"", ""T1082"", ""T1210""]"
experiment_01-shaped-s50-t42,shaped,50,1004,42,True,goal,251,-352.0,-752.1030624999999,4,32,7.949999999999999,8.1,False,15,13,"[""exploit"", ""privesc"", ""recon""]","[""T1018"", ""T1046"", ""T1057"", ""T1068"", ""T1082"", ""T1210""]"
experiment_01-shaped-s50-t42,shaped,50,1005,42,True,goal,169,-185.0,-362.59350000000006,6,56,8.2,9.8,True,15,13,"[""exploit"", ""privesc"", ""recon""]","[""T1018"", ""T1046"", ""T1057"", ""T1068"", ""T1082"", ""T1210""]"
experiment_01-shaped-s50-t42,shaped,50,1006,42,True,goal,167,-170.0,-304.118625,6,72,8.283333333333333,9.8,True,15,11,"[""exploit"", ""privesc"", ""recon""]","[""T1018"", ""T1046"", ""T1057"", ""T1068"", ""T1082"", ""T1210""]"
experiment_01-shaped-s50-t42,shaped,50,1007,42,True,goal,136,-103.0,-286.8381875,6,40,7.933333333333334,9.8,True,15,10,"[""exploit"", ""privesc"", ""recon""]","[""T1018"", ""T1046"", ""T1057"", ""T1068"", ""T1082"", ""T1210""]"
experiment_01-shaped-s50-t42,shaped,50,1008,42,True,goal,344,-567.0,-908.1504999999997,7,120,8.414285714285713,9.8,True,15,28,"[""exploit"", ""privesc"", ""recon""]","[""T1018"", ""T1046"", ""T1057"", ""T1068"", ""T1082"", ""T1210""]"
experiment_01-shaped-s50-t42,shaped,50,1009,42,True,goal,274,-386.0,-762.5416874999999,7,96,8.014285714285714,9.8,True,15,23,"[""exploit"", ""privesc"", ""recon""]","[""T1018"", ""T1046"", ""T1057"", ""T1068"", ""T1082"", ""T1210""]"
experiment_01-shaped-s50-t42,shaped,50,1010,42,True,goal,135,-103.0,-301.2785625,5,40,7.3,8.1,False,15,12,"[""exploit"", ""privesc"", ""recon""]","[""T1018"", ""T1046"", ""T1057"", ""T1068"", ""T1082"", ""T1210""]"
