run_name,reward_mode,training_seed,evaluation_seed,topology_seed,goal_reached,terminal_reason,length,native_return,policy_return,hosts_compromised,discovered_hosts,mean_cvss_exploited,max_cvss_exploited,high_value_target_hit,distinct_actions,repeated_actions,tactics,techniques
experiment_01-shaped-s49-t42,shaped,49,1001,42,True,goal,214,-253.0,-469.1704375,6,112,7.816666666666666,9.8,True,15,22,"[""exploit"", ""privesc"", ""recon""]","[""T1018"", ""T1046"", ""T1057"", ""T1068"", ""T1082"", ""T1210""]"
experiment_01-shaped-s49-t42,shaped,49,1002,42,True,goal,158,-141.0,-452.63106250000004,5,32,6.9799999999999995,8.1,False,15,12,"[""exploit"", ""privesc"", ""recon""]","[""T1018"", ""T1046"", ""T1057"", ""T1068"", ""T1082"", ""T1210""]"
experiment_01-shaped-s49-t42,shaped,49,1003,42,True,goal,134,-96.0,-147.36837500000001,6,32,8.566666666666668,9.8,True,15,17,"[""exploit"", ""privesc"", ""recon""]","[""T1018"", ""T1046"", ""T1057"", ""T1068"", ""T1082"", ""T1210""]"
experiment_01-shaped-s49-t42,shaped,49,1004,42,True,goal,63,70.0,-29.282749999999993,4,40,7.4,8.1,False,15,8,"[""exploit"", ""privesc"", ""recon""]","[""T1018"", ""T1046"", ""T1057"", ""T1068"", ""T1082"", ""T1210""]"
experiment_01-shaped-s49-t42,shaped,49,1005,42,True,goal,115,-58.0,-177.06550000000004,7,16,7.471428571428571,9.8,True,15,10,"[""exploit"", ""privesc"", ""recon""]","[""T1018"", ""T1046"", ""T1057"", ""T1068"", ""T1082"", ""T1210""]"
experiment_01-shaped-s49-t42,shaped,49,1006,42,True,goal,147,-123.0,-233.92337500000002,5,72,7.859999999999999,8.1,False,15,9,"[""exploit"", ""privesc"", ""recon""]","[""T1018"", ""T1046"", ""T1057"", ""T1068"", ""T1082"", ""T1210""]"
experiment_01-shaped-s49-t42,shaped,49,1007,42,True,goal,84,13.0,24.959812499999998,6,48,8.466666666666667,9.8,True,15,7,"[""exploit"", ""privesc"", ""recon""]","[""T1018"", ""T1046"", ""T1057"", ""T1068"", ""T1082"", ""T1210""]"
experiment_01-shaped-s49-t42,shaped,49,1008,42,True,goal,196,-215.0,-432.56818749999985,6,40,8.566666666666666,9.8,True,15,18,"[""exploit"", ""privesc"", ""recon""]","[""T1018"", ""T1046"", ""T1057"", ""T1068"", ""T1082"", ""T1210""]"
experiment_01-shaped-s49-t42,shaped,49,1009,42,True,goal,282,-388.0,-611.96425,7,144,8.985714285714286,9.8,True,15,24,"[""exploit"", ""privesc"", ""recon""]","[""T1018"", ""T1046"", ""T1057"", ""T1068"", ""T1082"", ""T1210""]"
experiment_01-shaped-s49-t42,shaped,49,1010,42,True,goal,173,-173.0,-275.09618750000004,6,80,8.200000000000001,9.8,True,15,12,"[""exploit"", ""privesc"", ""recon""]","[""T1018"", ""T1046"", ""T1057"", ""T1068"", ""T1082"", ""T1210""]"
