run_name,reward_mode,training_seed,evaluation_seed,topology_seed,goal_reached,terminal_reason,length,native_return,policy_return,hosts_compromised,discovered_hosts,mean_cvss_exploited,max_cvss_exploited,high_value_target_hit,distinct_actions,repeated_actions,tactics,techniques
experiment_01-shaped-s43-t42,shaped,43,1001,42,True,goal,211,-252.0,-526.7996875000001,6,88,7.349999999999999,9.8,True,15,18,"[""exploit"", ""privesc"", ""recon""]","[""T1018"", ""T1046"", ""T1057"", ""T1068"", ""T1082"", ""T1210""]"
experiment_01-shaped-s43-t42,shaped,43,1002,42,True,goal,152,-144.0,-313.9751875,6,40,6.966666666666666,8.1,False,15,13,"[""exploit"", ""privesc"", ""recon""]","[""T1018"", ""T1046"", ""T1057"", ""T1068"", ""T1082"", ""T1210""]"
experiment_01-shaped-s43-t42,shaped,43,1003,42,True,goal,169,-198.0,-238.43625000000003,7,24,8.414285714285715,9.8,True,15,16,"[""exploit"", ""privesc"", ""recon""]","[""T1018"", ""T1046"", ""T1057"", ""T1068"", ""T1082"", ""T1210""]"
experiment_01-shaped-s43-t42,shaped,43,1004,42,True,goal,104,-26.0,-42.56818750000002,6,48,7.533333333333334,8.1,False,15,6,"[""exploit"", ""privesc"", ""recon""]","[""T1018"", ""T1046"", ""T1057"", ""T1068"", ""T1082"", ""T1210""]"
experiment_01-shaped-s43-t42,shaped,43,1005,42,True,goal,108,-39.0,-59.24518749999997,6,16,7.066666666666666,8.1,False,15,12,"[""exploit"", ""privesc"", ""recon""]","[""T1018"", ""T1046"", ""T1057"", ""T1068"", ""T1082"", ""T1210""]"
experiment_01-shaped-s43-t42,shaped,43,1006,42,True,goal,147,-128.0,-278.395375,6,64,7.800000000000001,8.1,False,15,10,"[""exploit"", ""privesc"", ""recon""]","[""T1018"", ""T1046"", ""T1057"", ""T1068"", ""T1082"", ""T1210""]"
experiment_01-shaped-s43-t42,shaped,43,1007,42,True,goal,84,13.0,2.3506874999999923,5,32,8.2,9.8,True,15,6,"[""exploit"", ""privesc"", ""recon""]","[""T1018"", ""T1046"", ""T1057"", ""T1068"", ""T1082"", ""T1210""]"
experiment_01-shaped-s43-t42,shaped,43,1008,42,True,goal,213,-264.0,-367.96425000000005,7,96,7.871428571428571,9.8,True,15,18,"[""exploit"", ""privesc"", ""recon""]","[""T1018"", ""T1046"", ""T1057"", ""T1068"", ""T1082"", ""T1210""]"
experiment_01-shaped-s43-t42,shaped,43,1009,42,True,goal,213,-266.0,-577.2607499999999,7,88,8.414285714285715,9.8,True,15,15,"[""exploit"", ""privesc"", ""recon""]","[""T1018"", ""T1046"", ""T1057"", ""T1068"", ""T1082"", ""T1210""]"
experiment_01-shaped-s43-t42,shaped,43,1010,42,True,goal,171,-199.0,-295.5681875,5,72,8.780000000000001,9.8,True,15,16,"[""exploit"", ""privesc"", ""recon""]","[""T1018"", ""T1046"", ""T1057"", ""T1068"", ""T1082"", ""T1210""]"
