run_name,reward_mode,training_seed,evaluation_seed,topology_seed,goal_reached,terminal_reason,length,native_return,policy_return,hosts_compromised,discovered_hosts,mean_cvss_exploited,max_cvss_exploited,high_value_target_hit,distinct_actions,repeated_actions,tactics,techniques
experiment_01-sparse-s45-t42,sparse,45,1001,42,True,goal,70,50.0,2.0,5,16,8.66,9.8,True,15,10,[],[]
experiment_01-sparse-s45-t42,sparse,45,1002,42,True,goal,85,20.0,2.0,6,64,8.183333333333334,9.8,True,15,7,[],[]
experiment_01-sparse-s45-t42,sparse,45,1003,42,True,goal,153,-162.0,3.0,5,64,8.2,9.8,True,15,14,[],[]
experiment_01-sparse-s45-t42,sparse,45,1004,42,True,goal,59,82.0,2.0,4,40,7.4,8.1,False,14,7,[],[]
experiment_01-sparse-s45-t42,sparse,45,1005,42,True,goal,108,-44.0,3.0,5,64,7.44,9.8,True,15,11,[],[]
experiment_01-sparse-s45-t42,sparse,45,1006,42,True,goal,194,-255.0,3.0,5,80,8.2,9.8,True,15,21,[],[]
experiment_01-sparse-s45-t42,sparse,45,1007,42,True,goal,113,-72.0,3.0,6,40,8.083333333333334,9.8,True,15,12,[],[]
experiment_01-sparse-s45-t42,sparse,45,1008,42,True,goal,132,-90.0,3.0,7,96,8.5,9.8,True,15,11,[],[]
experiment_01-sparse-s45-t42,sparse,45,1009,42,True,goal,128,-83.0,3.0,6,64,8.85,9.8,True,15,14,[],[]
experiment_01-sparse-s45-t42,sparse,45,1010,42,True,goal,171,-198.0,3.0,7,64,8.428571428571429,9.8,True,15,14,[],[]
